code_name,smiles,YSI,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
23,CC(C)=C(C)C,62.4,11.5949,-8.7624,2.8325,7.9142,-3.4638,0.0001,0,271.2211,-0.5218,-0.4006,-7.2994,74.1178,0.0136,11.378,0.0879,2.2252,0.2176,2.2135,13.486,-0.5846,114.163,2.3626
24,C=CCC(C)(C)C,61.4,12.4456,-9.9241,2.5215,8.7499,-3.4478,0.3438,0,290.6113,-0.4786,-0.3379,-8.02,85.9447,0.0105,12.1977,0.082,2.6511,0.2881,1.8768,13.9514,-1.2797,124.6185,2.608600000000001
25,CC=C(CC)CC,59.8,11.7923,-9.281,2.5113,8.2833,-3.3414,0.2457,0,298.437,-0.5286000000000001,-0.3583,-7.5815,85.9686,0.012,11.6247,0.086,2.4709,0.2627,2.0106,13.5549,-0.5493,117.9985,2.752700000000001
26,CCC/C=C/CCC,59.8,12.1455,-9.6483,2.4972,8.2995,-3.3475,0.085,0,345.6194,-0.6067,-0.382,-7.7776,97.6974,0.0112,11.647,0.0859,2.476,0.2632,2.0062,12.8342,-0.6825,121.2633,3.142800000000002
27,CC/C=C/CCCC,58.8,12.135,-9.653,2.482,8.3059,-3.3642,0.0941,0,345.674,-0.6187,-0.3844,-7.7864,97.6994,0.011,11.6701,0.0857,2.4708,0.2616,2.0099,12.8377,-0.6913,121.6163,3.142800000000002
28,C/C=C/CCCCC,56.7,12.2782,-9.6032,2.675,8.2049,-3.4619,0.1336,0,343.1931,-0.676,-0.4103,-7.7508,97.6704,0.0108,11.6668,0.0857,2.3715,0.241,2.086,12.7354,-0.8779,121.9016,3.142800000000002
29,C=C(C)CCCCC,56.6,12.2842,-9.6152,2.6691000000000003,8.3502,-3.441,0.6538,0,333.3554,-0.7401,-0.4035,-7.8001,97.615,0.0107,11.7912,0.0848,2.4546,0.2556,2.0201,12.9947,-0.9261,122.6736,3.142800000000002
30,C=CCCCCCC,56.0,12.5277,-9.9752,2.5525,8.4546,-3.4753,0.3122,0,341.3387,-0.6405000000000001,-0.3689,-8.0648,97.709,0.0108,11.9299,0.0838,2.4897,0.2598,1.992,12.9335,-1.0496,125.5548,3.142800000000002
31,C=CCC(C)CC,55.8,12.5232,-9.9711,2.5521000000000003,8.6714,-3.4674,0.3563,0,298.7848,-0.5021,-0.3296,-8.0346,86.0141,0.0105,12.1388,0.0824,2.6019,0.2789,1.9104,13.65,-1.3131,125.0938,2.608600000000001
32,C/C=C\C(C)C,54.1,12.2678,-9.5551,2.7126,8.6548,-3.4324,0.2507,0,278.6541,-0.4838,-0.3496,-7.793,74.3435,0.0103,12.0872,0.0827,2.6112,0.282,1.9047,14.0395,-1.0036,122.2907,2.218499999999999
33,C/C=C(\C)CC,53.7,11.9085,-9.1758,2.7327,8.318,-3.4432,0.3344,0,275.9773,-0.5354,-0.3695,-7.5434,74.2597,0.0114,11.7611,0.085,2.4374,0.2526,2.0336,13.8271,-0.7734000000000001,118.5311,2.3626
34,CCC=C(C)C,53.6,11.8609,-9.1575,2.7034,8.3591,-3.4183,0.471,0,278.7111,-0.5561,-0.3791,-7.5776,74.2634,0.011,11.7774,0.0849,2.4704,0.2591,2.0085,13.8657,-0.7031000000000001,119.3769,2.3626
35,CC/C=C/CCC,53.5,12.151,-9.6127,2.5383,8.4238,-3.3959,0.1036,0,317.0522,-0.5448000000000001,-0.3617,-7.7786,86.0311,0.0106,11.8198,0.0846,2.5139,0.2674,1.9763,13.2514,-0.8359000000000001,121.7643,2.752700000000001
36,C=C(C)C(C)C,53.4,12.3793,-9.5999,2.7794,8.8138,-3.4491,0.6733,0,269.8747,-0.5587,-0.3485,-7.8137,74.2798,0.01,12.2629,0.0815,2.6824,0.2934,1.8558,14.3553,-1.1368,122.9138,2.218499999999999
37,C=CC(C)(C)C,53.1,12.5681,-9.9348,2.6333,9.046,-3.4905,0.3082,0,266.7112,-0.4264,-0.3202,-8.0362,74.3128,0.0093,12.5365,0.0798,2.7777000000000003,0.3077,1.7935,14.5329,-1.3953,126.5505,2.218499999999999
38,C/C=C\CCCC,50.8,12.1727,-9.5751,2.5976,8.375,-3.4261,0.2496,0,305.3568,-0.5532,-0.3493,-7.774,86.0363,0.011,11.8011,0.0847,2.4744,0.2594,2.0053,13.2999,-0.9475,121.4583,2.752700000000001
39,C=CCC(C)C,50.2,12.5187,-9.9393,2.5794,8.8809,-3.483,0.3478,0,273.975,-0.4363,-0.3145,-8.0483,74.3477,0.0099,12.3638,0.0809,2.6989,0.2946,1.8441,14.2176,-1.4584,125.3119,2.218499999999999
40,C=C(C)CCCC,49.1,12.2685,-9.6079,2.6606,8.4897,-3.4382,0.6624,0,302.4267,-0.6421,-0.3707,-7.802,85.9563,0.0105,11.9279,0.0838,2.5258000000000003,0.2674,1.9661,13.4878,-1.0366,122.4273,2.752700000000001
41,C=CCCCCC,48.4,12.5235,-9.9438,2.5797,8.6144,-3.4869,0.3343,0,312.2243,-0.5571,-0.3409,-8.0643,86.0453,0.0102,12.1013,0.0826,2.5637,0.2716,1.9371,13.3788,-1.2552,125.68,2.752700000000001
42,CC/C=C/CC,47.2,12.1561,-9.605,2.5511,8.594100000000001,-3.4265,0.0573,0,288.268,-0.4661,-0.3392,-7.7924,74.3704,0.0101,12.0206,0.0832,2.5838,0.2778,1.9246,13.7882,-0.9641,122.1536,2.3626
43,C/C=C/CCC,45.8,12.2792,-9.5558,2.7234,8.5203,-3.4937,0.123,0,284.6149,-0.503,-0.3573,-7.7534,74.3443,0.0101,12.014,0.0832,2.5133,0.2629,1.9738,13.7252,-1.1162,122.1282,2.3626
44,C=C(CC)CC,45.6,12.2045,-9.6358,2.5686,8.7863,-3.4091,0.6398,0,272.9331,-0.5068,-0.3238,-7.8347,74.3247,0.0103,12.1954,0.082,2.6886,0.2965,1.8528,14.1509,-1.0641,122.488,2.3626
45,C=CC(C)CC,45.1,12.5564,-9.9835,2.5729,8.9353,-3.4528,0.3219,0,274.5621,-0.4144,-0.3118,-8.0754,74.3746,0.0098,12.3881,0.0807,2.7412,0.3033,1.8173,14.2008,-1.3981,125.8749,2.218499999999999
46,C/C=C\CCC,44.7,12.1606,-9.5487,2.6119,8.5633,-3.4418,0.2457,0,277.3507,-0.4694,-0.3232,-7.7836,74.3759,0.0105,12.0051,0.0833,2.5608,0.2731,1.9403,13.8486,-1.0441,121.6605,2.3626
47,CC=C(C)C,43.5,12.106,-9.0567,3.0493,8.4039,-3.5473,0.3691,0,249.0912,-0.5067,-0.3666,-7.5303,62.5715,0.0103,11.9512,0.0837,2.4283,0.2467,2.0371,14.2259,-1.0225,120.1662,1.9725
48,C=C(C)CCC,42.9,12.2843,-9.5786,2.7058,8.6907,-3.4675,0.6753,0,273.8832,-0.5605,-0.347,-7.8036,74.2935,0.01,12.1583,0.0822,2.6116,0.2805,1.9036,14.0621,-1.1683,122.8138,2.3626
