code_name,smiles,YSI
143,CCCCCCCCCCCCCc1ccccc1,319.8
144,C=Cc1ccc(C)cc1,318.8
145,Cc1cccc(C)c1C,315.1
146,C=CCc1ccccc1,310.9
147,Cc1cc(C)cc(C)c1,310.9
148,Cc1ccc(C)c(C)c1,308.3
149,CCCCCCCCCCCCc1ccccc1,304.1
150,C#CCCc1ccccc1,298.9
151,CCCCCCCCCCCc1ccccc1,293.7
152,CC(C)(C)c1ccccc1,291.1
153,C=C(C)c1ccccc1,286.4
154,CCCCCCCCCCc1ccccc1,283.2
155,CCCCCCCCCc1ccccc1,283.2
156,CCc1cccc(C)c1,278
157,C=CCCc1ccccc1,275.9
158,CC(C)(C)Cc1ccccc1,272.8
159,CCc1ccc(CC)cc1,270.7
160,CCc1ccccc1C,267
161,CC(C)CCc1ccccc1,258.1
162,CC(C)Cc1ccccc1,257.6
163,CCc1ccc(C)cc1,257.1
164,CCCCCCCc1ccccc1,257.1
165,CCCCCCCCc1ccccc1,257.1
166,CCCCCc1ccccc1,255
167,CCCCCCc1ccccc1,246.7
168,CCCCc1ccccc1,245.1
169,c1ccc(Oc2ccccc2)cc1,241.4
170,CCCc1ccccc1,235.7
171,Cc1cccc(C)c1,221.6
172,C#Cc1ccccc1,216.3
173,CCC(C)c1ccccc1,199.1
174,CC1=CC2C3CC(C=C3C)C2C1,189.2
175,CC(C)c1ccccc1,187.6
176,C=Cc1ccccc1,174
177,Cc1ccccc1,170.9
178,C1=CC2C3C=CC(C3)C2C1,157.8
179,Brc1ccccc1,137.4
180,Clc1ccccc1,128
181,N#Cc1ccccc1,115
182,Fc1ccccc1,106.6
183,C1CCC2CCCCC2C1,105.5
184,c1ccccc1,100.3
185,C1CCC(C2CCCCC2)CC1,117.1
186,O=CCc1ccccc1,217.6
187,CC(=O)c1ccccc1,130.8
188,COc1ccccc1,111
189,OCc1ccccc1,189
190,O=Cc1ccccc1,119
191,CCc1ccccc1,216
192,CCOc1ccccc1,112
193,COCc1ccccc1,202
194,CC(O)c1ccccc1,142
195,OCCc1ccccc1,207
196,Cc1ccccc1C,200
197,Cc1ccc(C)cc1,202
198,COc1ccccc1C,122
199,COc1cccc(C)c1,126
200,COc1ccc(C)cc1,123
201,Cc1cccc(CO)c1,243
202,Cc1ccc(O)c(C)c1,144
203,CC(C)CCCC1CCC2CCCC2C1,155.4
204,CCC1CCC(CCCC(C)C)CC1,130.7
